"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"114","Together, India will certainly overcome the COVID-19 menace. The manner in which people from all walks of life are… https://t.co/RkWWvqROZg",FALSE,26497,NA,2020-04-14 10:36:44,TRUE,NA,"1250010089538244608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",4187,FALSE,FALSE,NA,NA
"115","Leading companies are rising to the occasion and working to defeat COVID-19. 

Good gesture by @SamsungIndia. https://t.co/QCvuugyIVI",FALSE,17165,NA,2020-04-14 10:35:35,FALSE,NA,"1250009802362605568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",2590,FALSE,FALSE,NA,NA
"116","A very kind gesture to begin the new year with. https://t.co/5bT4v7F9gs",FALSE,18144,NA,2020-04-14 10:34:50,FALSE,NA,"1250009612620713984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",2025,FALSE,FALSE,NA,NA
"117","Happy to know. 

More the downloads, more effective the fight against Coronavirus. https://t.co/aYWxOyV4Qi",FALSE,23337,NA,2020-04-14 10:33:49,FALSE,NA,"1250009357216968704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",2579,FALSE,FALSE,NA,NA
"118","Address to the nation. https://t.co/26sVP2br5n",FALSE,173488,NA,2020-04-14 04:30:44,FALSE,NA,"1249917985667629056",NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>","narendramodi",38326,FALSE,FALSE,NA,NA
"119","<U+09F0><U+0999><U+09BE><U+09B2><U+09C0> <U+09AC><U+09BF><U+09B9><U+09C1> <U+0986><U+09F0><U+09C1> <U+0985><U+09B8><U+09AE><U+09C0><U+09AF><U+09BC><U+09BE> <U+09A8><U+09F1><U+09AC><U+09F0><U+09CD><U+09B7><U+09F0> <U+098F><U+0987> <U+09B6><U+09C1><U+09AD><U+0995><U+09CD><U+09B7><U+09A3><U+09A4> <U+0986><U+09AA><U+09CB><U+09A8><U+09BE><U+09B2><U+09CB><U+0995> <U+0986><U+099F><U+09BE><U+0987><U+0995><U+09C7> <U+09AE><U+09CB><U+09F0>
<U+0986><U+09A8><U+09CD><U+09A4><U+09F0><U+09BF><U+0995> <U+0993><U+09B2><U+0997> <U+09A4><U+09A5><U+09BE> <U+09B6><U+09C1><U+09AD><U+09C7><U+099A><U+09CD><U+099B><U+09BE> <U+099C><U+09CD><U+099E><U+09BE><U+09AA><U+09A8> <U+0995><U+09F0><U+09BF><U+099B><U+09CB><U+0981><U+0964> <U+0985><U+09B8><U+09AE><U+09F0> <U+099C><U+09A8><U+099C><U+09C0><U+09F1><U+09A8><U+09F0>… https://t.co/q6G1z0qb8w",FALSE,27523,NA,2020-04-14 01:45:01,TRUE,NA,"1249876278779363328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",3768,FALSE,FALSE,NA,NA
"120","<U+0B85><U+0BA9><U+0BC8><U+0BB5><U+0BB0><U+0BC1><U+0B95><U+0BCD><U+0B95><U+0BC1><U+0BAE><U+0BCD>, <U+0B95><U+0BC1><U+0BB1><U+0BBF><U+0BAA><U+0BCD><U+0BAA><U+0BBE><U+0B95> <U+0B8E><U+0BA9><U+0BCD> <U+0BA4><U+0BAE><U+0BBF><U+0BB4><U+0BCD><U+0B9A><U+0BCD> <U+0B9A><U+0B95><U+0BCB><U+0BA4><U+0BB0><U+0BB0><U+0BCD> <U+0B9A><U+0B95><U+0BCB><U+0BA4><U+0BB0><U+0BBF><U+0B95><U+0BB3><U+0BC1><U+0B95><U+0BCD><U+0B95><U+0BC1><U+0BAE><U+0BCD> <U+0BAA><U+0BC1><U+0BA4><U+0BCD><U+0BA4><U+0BBE><U+0BA3><U+0BCD><U+0B9F><U+0BC1> <U+0BA8><U+0BB2><U+0BCD><U+0BB5><U+0BBE><U+0BB4><U+0BCD><U+0BA4><U+0BCD><U+0BA4><U+0BC1><U+0B95><U+0BB3><U+0BCD>. <U+0B87><U+0BA9><U+0BCD><U+0BAA><U+0BAE><U+0BCD> <U+0BA8><U+0BBF><U+0BB1><U+0BC8><U+0BA8><U+0BCD><U+0BA4> <U+0B86><U+0BA3><U+0BCD><U+0B9F><U+0BBE><U+0B95> <U+0B87><U+0BA4><U+0BC1> <U+0B85>… https://t.co/VSOMDK3WyW",FALSE,76797,NA,2020-04-14 01:43:39,TRUE,NA,"1249875938105372672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",11876,FALSE,FALSE,NA,NA
"121","<U+0D0E><U+0D32><U+0D4D><U+0D32><U+0D3E><U+0D35><U+0D7C><U+0D15><U+0D4D><U+0D15><U+0D41><U+0D02> <U+0D06><U+0D39><U+0D4D><U+0D33><U+0D3E><U+0D26><U+0D2A><U+0D42><U+0D7C><U+0D23><U+0D2E><U+0D3E><U+0D2F> <U+0D35><U+0D3F><U+0D37><U+0D41> <U+0D06><U+0D36><U+0D02><U+0D38><U+0D15><U+0D7E>! <U+0D2A><U+0D41><U+0D24><U+0D41><U+0D35><U+0D7C><U+0D37><U+0D02> <U+0D2A><U+0D41><U+0D24><U+0D3F><U+0D2F> <U+0D2A><U+0D4D><U+0D30><U+0D24><U+0D40><U+0D15><U+0D4D><U+0D37><U+0D2F><U+0D41><U+0D02> <U+0D0A><U+0D7C><U+0D1C><U+0D35><U+0D41><U+0D02> <U+0D2A><U+0D4D><U+0D30><U+0D26><U+0D3E><U+0D28><U+0D02><U+0D1A><U+0D46><U+0D2F><U+0D4D><U+0D2F><U+0D41><U+0D28><U+0D4D><U+0D28><U+0D41>. <U+0D0E><U+0D32><U+0D4D><U+0D32><U+0D3E><U+0D35><U+0D7C><U+0D15><U+0D4D><U+0D15><U+0D41><U+0D02> <U+0D15><U+0D4D><U+0D37><U+0D47><U+0D2E><U+0D35><U+0D41><U+0D02>… https://t.co/IITvWkVolb",FALSE,24319,NA,2020-04-14 01:42:30,TRUE,NA,"1249875648455135234",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",3622,FALSE,FALSE,NA,NA
"122","<U+09B6><U+09C1><U+09AD> <U+09A8><U+09AC><U+09AC><U+09B0><U+09CD><U+09B7> ! <U+09AA><U+09AF><U+09BC><U+09B2><U+09BE> <U+09AC><U+09C8><U+09B6><U+09BE><U+0996><U+09C7><U+09B0> <U+09B6><U+09C1><U+09AD><U+09C7><U+099A><U+09CD><U+099B><U+09BE> <U+0997><U+09CD><U+09B0><U+09B9><U+09A3> <U+0995><U+09B0><U+09C1><U+09A8><U+0964> <U+09A8><U+09A4><U+09C1><U+09A8> <U+09AC><U+099B><U+09B0> <U+0986><U+09AA><U+09A8><U+09BE><U+09A6><U+09C7><U+09B0> <U+09B8><U+0995><U+09B2><U+09C7><U+09B0> <U+099C><U+09C0><U+09AC><U+09A8><U+09C7> <U+09B8><U+09C1><U+0996>, <U+09B8><U+09AE><U+09C3><U+09A6><U+09CD><U+09A7><U+09BF><U+09B0> <U+09AC><U+09BE><U+09B0><U+09CD><U+09A4><U+09BE> <U+09A8><U+09BF><U+09AF><U+09BC><U+09C7> <U+0986><U+09B8><U+09C1><U+0995><U+0964> <U+09B8><U+0995><U+09B2><U+09C7>… https://t.co/JVI013BTm1",FALSE,24659,NA,2020-04-14 01:41:20,TRUE,NA,"1249875353511718913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",3773,FALSE,FALSE,NA,NA
"123","Greetings to people across India on the various festivals being marked. May these festivals deepen the spirit of br… https://t.co/UFfvnYXC7b",FALSE,48799,NA,2020-04-14 01:39:06,TRUE,NA,"1249874791823101953",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",5742,FALSE,FALSE,NA,NA
